Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2021-01-01,295765,3851,271834.0,20080.0,2898.764497987874,1.302047233445472
2021-01-02,296668,3877,273986.0,18805.0,2907.614714685871,1.3068480591098468
2021-01-03,298208,3903,276485.0,17820.0,2922.7081075041606,1.3088180062238437
2021-01-04,299831,3919,278929.0,16983.0,2938.614975389929,1.307069649235736
2021-01-05,301303,3940,281020.0,16343.0,2953.0419067071507,1.3076537571813092
2021-01-06,302856,3955,282727.0,16174.0,2968.262711282997,1.305901154343979
2021-01-07,304071,3968,284343.0,15760.0,2980.170810162361,1.304958381430653
2021-01-08,305163,3989,285393.0,15781.0,2990.873397797149,1.3071702663822284
2021-01-09,305959,4009,286983.0,14967.0,2998.6749177214074,1.310306282867966
2021-01-10,307209,4024,288785.0,14400.0,3010.926048255733,1.3098574586031009
2021-01-11,308670,4043,290430.0,14197.0,3025.245169624253,1.3098130689733372
2021-01-12,309846,4076,292104.0,13666.0,3036.7710332309466,1.315492212260284
2021-01-13,310968,4091,293531.0,13346.0,3047.767647998557,1.3155694476602091
2021-01-14,312043,4107,294802.0,13134.0,3058.303620258077,1.3161647593440648
2021-01-15,312851,4121,295705.0,13025.0,3066.222751035465,1.3172404754979208
2021-01-16,313557,4137,297245.0,12175.0,3073.1421895612525,1.319377338091639
2021-01-17,314514,4145,298868.0,11501.0,3082.5216550983323,1.3179063571096994
2021-01-18,315544,4153,300340.0,11051.0,3092.616586658617,1.316139745962528
2021-01-19,316427,4170,301893.0,10364.0,3101.270785268065,1.317839501686013
2021-01-20,317405,4187,303108.0,10110.0,3110.8560697981206,1.3191348592492242
2021-01-21,318181,4198,304200.0,9783.0,3118.4615716338308,1.3193748212495404
2021-01-22,318911,4207,304996.0,9708.0,3125.616231865877,1.319176823627909
2021-01-23,319519,4217,306246.0,9056.0,3131.575181757772,1.319796318841759
2021-01-24,320453,4224,307707.0,8522.0,3140.729226493021,1.3181340165328457
2021-01-25,321298,4239,308883.0,8176.0,3149.010990734225,1.3193359435788583
2021-01-26,322241,4248,310005.0,7988.0,3158.25324360932,1.3182680043818136
2021-01-27,323111,4262,311080.0,7769.0,3166.780030461211,1.3190513476792805
2021-01-28,324169,4269,311888.0,8012.0,3177.149387345464,1.3169056880824508
2021-01-29,325033,4281,312594.0,8158.0,3185.6173687707897,1.3170970332243188
2021-01-30,325674,4304,313551.0,7819.0,3191.8997485087925,1.3215669657387448
2021-01-31,326855,4316,314581.0,7958.0,3203.4746166376235,1.320463202337428
2021-02-01,328062,4326,315464.0,8272.0,3215.3043082815684,1.3186531814108309
2021-02-02,329194,4334,316442.0,8418.0,3226.398932093453,1.3165489042935168
2021-02-03,330474,4344,317218.0,8912.0,3238.944089760603,1.3144755714519143
2021-02-04,331768,4354,317948.0,9466.0,3251.626460089737,1.312362855971643
2021-02-05,332990,4362,318556.0,10072.0,3263.603165300093,1.3099492477251569
2021-02-06,333855,4369,319490.0,9996.0,3272.0809476298477,1.308651959683096
2021-02-07,335154,4379,320335.0,10440.0,3284.812322481119,1.3065635498904982
2021-02-08,336839,4385,321278.0,11176.0,3301.326846441389,1.3018088760505762
2021-02-09,338322,4395,322148.0,11779.0,3315.861587707313,1.299058293578307
2021-02-10,340177,4411,323206.0,12560.0,3334.042265420253,1.296677905913686
2021-02-11,341984,4421,324070.0,13493.0,3351.7524997206738,1.2927505380368671
2021-02-12,343563,4433,324711.0,14419.0,3367.2281278116343,1.2903019242467904
2021-02-13,344803,4444,325892.0,14467.0,3379.381249301686,1.2888518951401235
2021-02-14,347250,4455,327099.0,15696.0,3403.3640624356817,1.2829373650107991
2021-02-15,349562,4473,328231.0,16858.0,3426.0237534719704,1.2796013296639794
2021-02-16,352219,4491,329511.0,18217.0,3452.064756535733,1.275058983189436
2021-02-17,355106,4503,330805.0,19798.0,3480.359967617812,1.2680720686217637
2021-02-18,356744,4512,332027.0,20205.0,3496.413849069992,1.2647724979256834
2021-02-19,357611,4528,332892.0,20191.0,3504.911233208601,1.2661802908747215
2021-02-20,359811,4543,334191.0,21077.0,3526.4732229490137,1.2626073132839184
2021-02-21,363728,4554,335876.0,23298.0,3564.863365591377,1.252034487309198
2021-02-22,368278,4570,337359.0,26349.0,3609.4574807363215,1.240910399209293
2021-02-23,372417,4589,339214.0,28614.0,3650.023424161581,1.2322208706906506
2021-02-24,376441,4611,341021.0,30809.0,3689.462263577682,1.224893143945532
2021-02-25,380268,4627,342600.0,33041.0,3726.970324821575,1.2167734334732347
2021-02-26,383912,4650,343840.0,35422.0,3762.684820555241,1.211215070120236
2021-02-27,386496,4675,346287.0,35534.0,3788.010357595799,1.2095856102003644
2021-02-28,391090,4701,348599.0,37790.0,3833.035712535553,1.2020251093098775
2021-03-01,397158,4727,351256.0,41175.0,3892.5076006013833,1.1902064165898711
2021-03-02,402282,4756,354143.0,43383.0,3942.727434887691,1.1822552338906538
2021-03-03,407617,4793,355781.0,47043.0,3995.015260008193,1.1758587105052047
2021-03-04,413350,4833,356648.0,51869.0,4051.203845090825,1.16922704729648
2021-03-05,417934,4862,358848.0,54224.0,4096.131190986303,1.163341580249513
2021-03-06,421415,4900,362765.0,53750.0,4130.248139298295,1.1627493088760483
2021-03-07,427717,4935,367315.0,55467.0,4192.01343900015,1.1538002931845122
2021-03-08,435130,4987,371454.0,58689.0,4264.667543520916,1.1460942706777284
2021-03-09,442202,5046,375478.0,61678.0,4333.979539631917,1.141107457677713
2021-03-10,448851,5106,379305.0,64440.0,4399.145753170104,1.1375712652973926
2021-03-11,457151,5169,382949.0,69033.0,4480.4932599180265,1.1306986094310194
2021-03-12,464856,5224,385533.0,74099.0,4556.009228531609,1.1237888722529128
2021-03-13,469000,5285,390127.0,73588.0,4596.624176479006,1.126865671641791
2021-03-14,477053,5346,396195.0,75512.0,4675.5508598333445,1.120630202514186
2021-03-15,486470,5428,401319.0,79723.0,4767.84597682674,1.1157933685530457
2021-03-16,495380,5497,406654.0,83229.0,4855.172035275416,1.1096531955266664
2021-03-17,504915,5553,412387.0,86975.0,4948.623658991251,1.0997890734083955
2021-03-18,514107,5627,416971.0,91509.0,5038.713572488469,1.094519234322816
2021-03-19,521461,5701,420452.0,95308.0,5110.789423648014,1.0932744730670174
2021-03-20,526666,5788,426754.0,94124.0,5161.803131192946,1.0989887328971302
2021-03-21,535455,5876,434167.0,95412.0,5247.943280205897,1.0973844674155624
2021-03-22,544724,5985,441239.0,97500.0,5338.78786334403,1.0987215544018625
2021-03-23,553727,6077,447888.0,99762.0,5427.025405904456,1.0974722200651224
2021-03-24,562857,6181,456188.0,100488.0,5516.507663327172,1.0981474868394636
2021-03-25,571290,6277,463893.0,101120.0,5599.158690363946,1.098741444800364
2021-03-26,577734,6374,468037.0,103323.0,5662.315718494503,1.1032759020587328
2021-03-27,582133,6472,476090.0,99571.0,5705.429897070902,1.1117734263475871
2021-03-28,589316,6554,485507.0,97255.0,5775.829793573351,1.112136782303552
2021-03-29,597256,6651,494417.0,96188.0,5853.648974727388,1.1135928312147554
2021-03-30,605007,6747,503952.0,94308.0,5929.615784944634,1.1151937085025465
2021-03-31,611577,6858,513144.0,91575.0,5994.00772703305,1.1213632952187542
2021-04-01,618059,6940,520498.0,90621.0,6057.53718953185,1.122870146701205
2021-04-02,622833,7039,525703.0,90091.0,6104.326707268548,1.1301584855009288
2021-04-03,626875,7130,534492.0,85253.0,6143.941962964344,1.1373878364905283
2021-04-04,632907,7201,543761.0,81945.0,6203.061018470785,1.137765896095319
2021-04-05,639444,7283,552764.0,79397.0,6267.129530713095,1.1389582199535846
2021-04-06,645449,7383,561894.0,76172.0,6325.983961799995,1.143854897908278
2021-04-07,650681,7469,570327.0,72885.0,6377.262293764467,1.1478743039984265
2021-04-08,655456,7565,576771.0,71120.0,6424.061612405593,1.1541583264170288
2021-04-09,659250,7646,581170.0,70434.0,6461.246243803378,1.1598028062191883
2021-04-10,662395,7708,588353.0,66334.0,6492.0700882277415,1.1636561266313907
2021-04-11,665735,7773,596293.0,61669.0,6524.80510901546,1.1675816954193483
2021-04-12,669300,7855,604044.0,57401.0,6559.745333299356,1.173614223815927
2021-04-13,672090,7937,610614.0,53539.0,6587.089856651972,1.18094302846345
2021-04-14,676175,7987,617096.0,51092.0,6627.126551238148,1.181203090915813
2021-04-15,679138,8057,621870.0,49211.0,6656.166631056713,1.1863568229137524
2021-04-16,681870,8117,625912.0,47841.0,6682.9427019525365,1.190402862715767
2021-04-17,683466,8178,631944.0,43344.0,6698.584945418764,1.1965481823528896
2021-04-18,685973,8246,638481.0,39246.0,6723.155812818407,1.202088128833059
2021-04-19,689482,8308,644486.0,36688.0,6757.547186454366,1.2049625661003478
2021-04-20,692181,8372,649718.0,34091.0,6783.999827504082,1.2095102292608435
2021-04-21,695390,8429,654493.0,32468.0,6815.450929811803,1.2121255698241276
2021-04-22,697487,8474,658287.0,30726.0,6836.003426396188,1.2149330381784893
2021-04-23,699164,8514,661432.0,29218.0,6852.43954312104,1.2177400438237669
2021-04-24,700423,8563,664772.0,27088.0,6864.778881795212,1.2225469466308216
2021-04-25,702154,8615,668337.0,25202.0,6881.744247359145,1.226938819689128
2021-04-26,704540,8660,671127.0,24753.0,6905.129205323066,1.229170806483663
2021-04-27,706355,8707,675212.0,22436.0,6922.917846858907,1.2326662938607358
2021-04-28,708265,8754,678175.0,21336.0,6941.637574315358,1.2359780590598153
2021-04-29,709817,8801,680907.0,20109.0,6956.848577986777,1.2398970438859591
2021-04-30,711373,8836,682503.0,20034.0,6972.098785275904,1.242105055997346
2021-05-01,712077,8871,685010.0,18196.0,6978.998621992838,1.245792238760696
2021-05-02,712901,8897,688519.0,15485.0,6987.074567241065,1.2479993715817483
2021-05-03,714173,8925,691218.0,14030.0,6999.541317672795,1.24969720221851
2021-05-04,715703,8955,694427.0,12321.0,7014.536701446809,1.2512173345647566
2021-05-05,716923,8988,696524.0,11411.0,7026.493804848312,1.2536911216406783
2021-05-06,717930,9014,698201.0,10715.0,7036.363315606764,1.255554162662098
2021-05-07,718632,9047,699460.0,10125.0,7043.243550514841,1.2589197252557638
2021-05-08,719233,9076,701191.0,8966.0,7049.133894075745,1.2618998294015986
2021-05-09,719233,9076,703577.0,6580.0,7049.133894075745,1.2618998294015986
2021-05-10,720998,9125,705392.0,6481.0,7066.4324903902125,1.2656068394087086
2021-05-11,721853,9151,707302.0,5400.0,7074.8122636756925,1.2677096306311673
2021-05-12,721853,9151,708854.0,3848.0,7074.8122636756925,1.2677096306311673
2021-05-13,722754,9203,710410.0,3141.0,7083.642878564834,1.2733239802201026
2021-05-14,722754,9203,710445.0,3106.0,7083.642878564834,1.2733239802201026
2021-05-15,722754,9203,710445.0,3106.0,7083.642878564834,1.2733239802201026
2021-05-16,724154,9259,710445.0,4450.0,7097.364144763279,1.27859543688221
2021-05-17,725258,9276,710445.0,5537.0,7108.184343251195,1.278993130720378
2021-05-18,726432,9295,710445.0,6692.0,7119.690605049034,1.2795416501475705
2021-05-19,726432,9295,710445.0,6692.0,7119.690605049034,1.2795416501475705
2021-05-20,726432,9295,710445.0,6692.0,7119.690605049034,1.2795416501475705
2021-05-21,726432,9295,710445.0,6692.0,7119.690605049034,1.2795416501475705
2021-05-22,726432,9295,710445.0,6692.0,7119.690605049034,1.2795416501475705
2021-05-23,726432,9295,710608.0,6529.0,7119.690605049034,1.2795416501475705
2021-05-24,731436,9384,711614.0,10438.0,7168.734330804045,1.282955719980969
